video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=nvvICVJaqHQ&pp=ygUJdXcgY2FtcHVz,/@wmtv15news,"WMTV | News, Weather & Sports","UW Madison educates freshmen, transfers on campus land history",14,1 year,"Before freshmen hit the classrooms, the university educated students on the land they will be walking on for the next four years.",2026-01-22 07:19:26.953023
/watch?v=PB_F6_g4zvM&pp=ygUJdXcgY2FtcHVz0gcJCYcKAYcqIYzv,/@komonews,KOMO News,Student housing project at UW faces backlash over removal of 166 mature trees,2.9K,2 months,"The construction projects are at two locations near the UW campus, just a couple of blocks apart. Blakeley Village is at 4747 30th ...",2026-01-22 07:19:26.954354
/watch?v=NIcE-2he-Gg&pp=ygUJdXcgY2FtcHVz,/@uw-milwaukee,UW-Milwaukee,"UW-Milwaukee Online | Top-Ranked Programs, Flexible Learning",19,9 hours,"At UW-Milwaukee, online learning is built for real life – work, family and everything in between. UW-Milwaukee delivers ...",2026-01-22 07:19:26.955510
/watch?v=TmtDJ8hX3hg&pp=ygUJdXcgY2FtcHVz,/@UWLawSeattle,UW School of Law,The UW Law Experience,893,6 months,Discover what sets UW Law apart from other law schools and why students across the country — and the globe — choose it when ...,2026-01-22 07:19:26.956637
/watch?v=hrTdzTxjsQc&pp=ygUJdXcgY2FtcHVz,/@UWMadSoHE,University of Wisconsin: School of Human Ecology,Interior Architecture at the UW-Madison School of Human Ecology,7.6K,9 years,Discover how you can blend a love of art and design into a career that helps people live better lives. At the UW-Madison School of ...,2026-01-22 07:19:26.957740
/watch?v=z-osCvm23m4&pp=ygUJdXcgY2FtcHVz,/@uwriverfalls,University of Wisconsin-River Falls,UW-River Falls Overview,276,3 months,Take a peek at what our campus is like and what it's like to be a Falcon.,2026-01-22 07:19:26.958871
/watch?v=HQ2BiY1FqCA&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm3SBwkJhwoBhyohjO8%3D,/@UWHFS,UWHFS,#HuskyHome | UW Residential Housing Tour,92K,6 years,Make sure you like and subscribe for more content coming soon! To learn more about University of Washington's Housing & Food ...,2026-01-22 07:19:44.079141
/watch?v=dZcM0cT9Nvw&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: West Campus Residence Halls,85K,7 years,"UW campus tour guide Jackie shows off west campus residence hall attractions, including spaces in and around Maple, Alder and ...",2026-01-22 07:19:44.081332
/watch?v=Dznf25Lwbp0&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm3SBwkJhwoBhyohjO8%3D,/@chloeiewis,Chloe Lewis,COLLEGE DORM TOUR 💜💛 (my freshman year in a UW double dorm),1.2K,1 year,UW seattle dorm tour!!! this year i'm living on the west campus in a double room with a private bath - i only showed my side and ...,2026-01-22 07:19:44.082827
/watch?v=grV2rONv_fY&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@surabhisyt,surabhi,COLLEGE DORM MOVE IN VLOG @ university of washington *freshman year*,7.6K,1 year,"hey guys! so sorry for how delayed this video is, i've been really busy with college however, i still wanted to share it with you ...",2026-01-22 07:19:44.085596
/watch?v=cnn4MZZ5H_A&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@idkpayton,payton!,a day in the life of a university of washington student 💜 | mcmahon hall dorm tour!,26K,1 year,big thank you to quinlan for taking me along with him to uni for the day and emberlee for showing me her dorm in mcmahon hall!!,2026-01-22 07:19:44.087372
/watch?v=okIKKVneQj4&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@alyssalecca3608,Alyssa Lecca,UW Dorm Tour 2021 - Elm Hall,6.7K,4 years,Subscribe to for more college dorm tours and travel videos! ​@alyssalecca3608.,2026-01-22 07:19:44.089335
/watch?v=hcTvZ3cuwBs&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@fionaluna6870,Fiona Luna,University of Washington Dorm Tour,11K,5 years,Hi! My name is Fiona and I am a 21-year-old nursing student at the University of Washington. This is a video is a tour of my dorm ...,2026-01-22 07:19:44.091866
/watch?v=Crc8BhZ0WcQ&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@NataliaReneee,Natalia Renee,Day in the Life as a Freshman at The University of Washington! *2025*,4.4K,9 months,spend a day with me to get insight on what it's like attending the University of Washington   socials: insta: @nataliarnandez I ...,2026-01-22 07:19:44.094155
/watch?v=BIWAo4DKyLo&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm3SBwkJhwoBhyohjO8%3D,/@universityofwashington,UW (University of Washington),University of Washington student 'move-in' 2023,8.9K,2 years,"From September 19th to 22nd, thousands of UW students move into campus housing and prepare for the new academic year.",2026-01-22 07:19:44.095382
/watch?v=J0Ha0tHz2CI&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm3SBwkJhwoBhyohjO8%3D,/@JoshSlavin,Josh Slavin,#1 Rated College Dorm Tour - WashU in St. Louis!,52K,3 years,A tour of the number 1 rated dorm room in the US at Washington University in St. Louis!,2026-01-22 07:19:44.098534
/watch?v=7Z1y6F4FJW4&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@nancyhe,Nancy He 何南希,💗dorm room tour💗| university of washington,19K,2 years,dormtour #universityofwashington #seattle The long-awaited University of Washington dorm tour is finally here!! Sorry for the wait ...,2026-01-22 07:19:44.101117
/watch?v=ZQJ2oaDMfLs&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@UWHFS,UWHFS,"UW HFS | Triple Room, Private Bath 360° Tour",43K,6 years,"To learn more about University of Washington's Housing & Food Services, visit our website here: https://hfs.uw.edu/ FACEBOOK ...",2026-01-22 07:19:44.103616
/watch?v=A03zS8VsTQU&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@Sincerelylaure,Sincerelylaure,COLLEGE DORM TOUR 2020 | University of Washington (freshman year),43K,5 years,"hi here's my long-awaited dorm tour!! thank you so much for watching, cya in my next video. i hope you all have an amazing day ...",2026-01-22 07:19:44.106172
/watch?v=miO5fPKBNSI&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@dobochobo,dobochobo,COLLEGE MOVE IN DAY // freshman @ university of washington!,932K,4 years,"the day has finally come! a semi-anticlimactic vlog of the first step in my ""adulting"" (if this even counts haha) life. me? adult? who ...",2026-01-22 07:19:44.107571
/watch?v=Za45a8O9zyk&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@rileyjosephpierce,riley pierce,freshman dorm tour @ university of washington,7K,2 years,i'm so excited to be living on campus and attending uw! I've had so much fun and I hope you enjoy this tour of my freshman year ...,2026-01-22 07:19:44.108844
/watch?v=JLafA9i1cJE&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@nancyhe,Nancy He 何南希,COLLEGE MOVE IN DAY | University of Washington (freshman),29K,3 years,"collegemovein #movingout #dormroom #universityofwashington The video you've all been waiting for! In this video, I moved into a ...",2026-01-22 07:19:44.111702
/watch?v=JE-Gw8C4ULk&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@itsheatherleung,itsheatherleung,college dorm MOVE-IN day 2021 *UNIVERSITY OF WASHINGTON*,20K,4 years,"hiya, move into my college dorm with me at University of Washington on west campus for spring quarter as a freshman!! added a ...",2026-01-22 07:19:44.113363
/watch?v=svro74-gsPQ&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@universityofwashington,UW (University of Washington),UW students move into campus housing during Husky Move-In week 2024,4.5K,1 year,Mild fall temperatures this week helped welcome the first group of students who moved into University of Washington residence ...,2026-01-22 07:19:44.115352
/watch?v=Xq1Xh4SCZt4&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm3SBwkJhwoBhyohjO8%3D,/@TimothyJoo,Tim Joo,UW Seattle | Day in the Life of a Freshman: Moving into Maple Hall!,8.1K,8 years,Moving into my new dorm! University of Washington Seattle Maple Hall! where i get my music ...,2026-01-22 07:19:44.117531
/watch?v=pu2ivgeyrBU&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@rileyjosephpierce,riley pierce,(6 months later) freshman dorm tour @ university of washington,1.5K,1 year,thank you so much for watching my spring dorm tour! i hope this video answered any questions or wonderings you had regarding ...,2026-01-22 07:19:51.493156
/watch?v=tA7YC7bLFHg&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@idkpayton,payton!,a day in the life of a sophomore at the university of washington 💜 | alder hall dorm tour,1K,11 months,I followed quinlan around on another day in his life as a sophomore at the university of washington + visited chloe's dorm room at ...,2026-01-22 07:19:51.494617
/watch?v=cL-DN21SUWw&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@Sincerelylaure,Sincerelylaure,COLLEGE MOVE IN DAY 2020 | University of Washington (freshman),26K,5 years,HEY HEY HEY   if you're reading this I hope you have a wonderful day! check out my description box for FREE coupon codes ...,2026-01-22 07:19:51.495918
/watch?v=CZdOwpS3ozU&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@taaylor_n,Taylor Nguyen,college move in vlog + room tour | university of washington 💜,289,3 months,"hiii guys! come move into my college dorm with me! the process was super chaotic and stressful, but we made it!!! be sure to like, ...",2026-01-22 07:19:51.497166
/watch?v=ZLptqTABfko&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@UWHFS,UWHFS,"UW HFS | McMahon Hall - Single Room, Semi-Private Bath 360° Tour",8.9K,5 years,Make sure you like and subscribe for more content coming soon! To learn more about University of Washington's Housing & Food ...,2026-01-22 07:19:51.498525
/watch?v=NLtLID6RUZA&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@IvyAdmissionHelp,Ivy Admission Help,"Washington University in St. Louis: The pros, the cons, and how to get in.",10K,10 months,Want more insights on Washington University in St. Louis? Read my full article: https://www.biggreencollegeprep.com/washu ...,2026-01-22 07:19:51.500660
/watch?v=pUxcyyA7ta0&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@UWHFS,UWHFS,UW HFS | McCarty Hall Virtual Tour,48K,7 years,For more information on McCarty Hall visit our website here: http://bit.ly/UWMcCartyHall Make sure you like and subscribe for ...,2026-01-22 07:19:51.502446
/watch?v=s6ro5F8DTac&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@TiffanyBluee,Tiffany Blue,THE #1 COLLEGE DORM IN THE US TOUR🤩💖 @WASHU,8.7K,2 years,"Hi guys, Hope you enjoyed watching this video! Washington University in St. Louis Hope you guys enjoy, and if you do make sure ...",2026-01-22 07:19:51.503975
/watch?v=gL4WY8MVm-w&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@universityofwashington,UW (University of Washington),UW welcomes students back to campus housing for fall 2025,1.3K,4 months,Read more at https://www.washington.edu/news/,2026-01-22 07:19:51.505337
/watch?v=Edf8i3Wpbp4&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@seattle.a2fklesis,A2F UW & Klesis SeattleU,University of Washington Willow Hall Dorm Tour Part 1 (Dining Hall & Recreational Areas),15K,5 years,"We visited Savannah (an RA at Willow Hall at the University of Washington) and she showed us around her room, and Willow ...",2026-01-22 07:19:51.507207
/watch?v=RjHuOE-gIX8&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm3SBwkJhwoBhyohjO8%3D,/@KING5Seattle,KING 5 Seattle,UW students against private housing plans,2.4K,3 years,University of Washington students are protesting against plans to privatize student housing.,2026-01-22 07:19:51.508477
