video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=DobCeyFAiRw&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Erik Mayer | Unlocking More Equitable Financial Opportunities | Wisconsin School of Business,195,1 year,"Meet Erik Mayer, assistant professor of finance at the Wisconsin School of Business. Erik is promoting upward mobility for people ...",2026-01-22 07:27:26.493907
/watch?v=-2oc9IfnhH4&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Want more?,3.5K,4 years,UW Foster is a world-class business school in a pioneering city perched on the Pacific Rim. The world's best and brightest leaders ...,2026-01-22 07:27:26.494575
/watch?v=iwvH-rRuzgA&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Student Experience in the Business Management Certificate Program,187,3 years,Hear from recent alumni of the University of Washington Foster School's Business Management Certificate Program about their ...,2026-01-22 07:27:26.495466
/watch?v=VYglJxRzLeE&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,A Conversation with the Deans - UW Engineering Leadership Institute,80,3 months,Learn more at https://engr.uw.edu/eli Hear a conversation between UW Engineering Dean Nancy Allbritton and UW Foster School ...,2026-01-22 07:27:26.496469
/watch?v=-Y1rLCjKAK8&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,"Foster School of Business Student Profile: Emily Kwong, Full-time MBA",3.5K,3 years,"Emily talks about what makes the Foster community stand out — from leadership opportunities to small, intimate class sizes to ...",2026-01-22 07:27:26.497126
/watch?v=oOW6Xt5Lqe8&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Wisconsin School of Business | The Next Generation of Business Leaders | UW–Madison,664,4 years,"No two journeys are alike. Meet Sennai Atsbeha at Gymshark, Cynthia Chu at Audible, and Jim Wuthrich at WarnerMedia, leaders ...",2026-01-22 07:27:26.497799
/watch?v=ufMJkznBb6M&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Inside the UW Foster MS in Entrepreneurship: Is It the Right Path for You?,200,2 months,"Wondering if a Master's in Entrepreneurship is the right move? In this video, UW Foster students share what it's really like to turn ...",2026-01-22 07:27:26.498546
/shorts/I0zs139-pGQ,/@UWFosterSchool,UW Foster School of Business,The best part of Foster?,87,6 months,Our students will tell you.,2026-01-22 07:27:26.499685
/watch?v=QhF0b0aS7Cg&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Introducing the Master of Science in Entrepreneurship at the the UW Foster School of Business,498,5 years,Will this be Year One of your startup? Find out why this may be the best time to launch your venture through the Master of Science ...,2026-01-22 07:27:26.500778
/watch?v=xOoh0Ggp0fo&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Explore UW Foster School of Business | Student-Led Campus Tour,180,6 days,UWBusiness #UWFoster #UniversityOfWashington Step inside the University of Washington Foster School of Business with Foster ...,2026-01-22 07:27:34.463325
/shorts/sH27b2j22-E,/@UWFosterSchool,UW Foster School of Business,What are your plans after graduation?,599,7 months,Congratulations to all the graduates! We can't wait to see what you accomplish in the future!,2026-01-22 07:27:34.464648
/shorts/1e4-bMrciQo,/@UWFosterSchool,UW Foster School of Business,Learn. Work. Succeed. All at once.,142,7 months,Richard Zong shares how he was able to learn and grow while on the job through our Evening MBA program.,2026-01-22 07:27:34.465944
